
2025/02/10 (13:46:52) | ===> btop++ v.1.4.0
2025/02/10 (13:46:52) | INFO: Logger set to DEBUG
2025/02/10 (13:46:52) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:46:52) | INFO: Running on /dev/pts/4
2025/02/10 (13:46:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:46:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:46:53) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:46:53) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:46:53) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:48:55) | DEBUG: Writing new config file
2025/02/10 (13:48:55) | INFO: Quitting! Runtime: 00:02:03

2025/02/10 (13:48:56) | ===> btop++ v.1.4.0
2025/02/10 (13:48:56) | INFO: Logger set to DEBUG
2025/02/10 (13:48:56) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:48:56) | INFO: Running on /dev/pts/4
2025/02/10 (13:48:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:48:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:48:56) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:48:56) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:48:56) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:49:56) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:49:56) | INFO: Quitting! Runtime: 00:01:00

2025/02/10 (13:49:57) | ===> btop++ v.1.4.0
2025/02/10 (13:49:57) | INFO: Logger set to DEBUG
2025/02/10 (13:49:57) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:49:57) | INFO: Running on /dev/pts/4
2025/02/10 (13:49:57) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:49:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:49:57) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:49:57) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:49:57) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:50:14) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:50:14) | INFO: Quitting! Runtime: 00:00:17

2025/02/10 (13:50:16) | ===> btop++ v.1.4.0
2025/02/10 (13:50:16) | INFO: Logger set to DEBUG
2025/02/10 (13:50:16) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:50:16) | INFO: Running on /dev/pts/4
2025/02/10 (13:50:16) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:50:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:50:16) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:50:16) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:50:16) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:50:59) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:50:59) | INFO: Quitting! Runtime: 00:00:43

2025/02/10 (13:51:00) | ===> btop++ v.1.4.0
2025/02/10 (13:51:00) | INFO: Logger set to DEBUG
2025/02/10 (13:51:00) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:51:00) | INFO: Running on /dev/pts/4
2025/02/10 (13:51:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:51:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:51:00) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:51:00) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:51:00) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:52:08) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:52:08) | INFO: Quitting! Runtime: 00:01:08

2025/02/10 (13:52:09) | ===> btop++ v.1.4.0
2025/02/10 (13:52:09) | INFO: Logger set to DEBUG
2025/02/10 (13:52:09) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:52:09) | INFO: Running on /dev/pts/4
2025/02/10 (13:52:09) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:52:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:52:09) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:52:09) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:52:09) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:53:30) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:53:30) | INFO: Quitting! Runtime: 00:01:21

2025/02/10 (13:53:31) | ===> btop++ v.1.4.0
2025/02/10 (13:53:31) | INFO: Logger set to DEBUG
2025/02/10 (13:53:31) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:53:31) | INFO: Running on /dev/pts/4
2025/02/10 (13:53:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:53:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:53:31) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:53:31) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:53:31) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:54:19) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:54:19) | INFO: Quitting! Runtime: 00:00:48

2025/02/10 (13:54:20) | ===> btop++ v.1.4.0
2025/02/10 (13:54:20) | INFO: Logger set to DEBUG
2025/02/10 (13:54:20) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:54:20) | INFO: Running on /dev/pts/4
2025/02/10 (13:54:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:54:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:54:20) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:54:20) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:54:20) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:54:54) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:54:54) | INFO: Quitting! Runtime: 00:00:34

2025/02/10 (13:54:56) | ===> btop++ v.1.4.0
2025/02/10 (13:54:56) | INFO: Logger set to DEBUG
2025/02/10 (13:54:56) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:54:56) | INFO: Running on /dev/pts/4
2025/02/10 (13:54:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:54:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:54:56) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:54:56) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:54:56) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:56:10) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:56:10) | INFO: Quitting! Runtime: 00:01:14

2025/02/10 (13:56:11) | ===> btop++ v.1.4.0
2025/02/10 (13:56:11) | INFO: Logger set to DEBUG
2025/02/10 (13:56:11) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:56:11) | INFO: Running on /dev/pts/4
2025/02/10 (13:56:12) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/10 (13:56:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/10 (13:56:12) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/10 (13:56:12) | DEBUG: Shared::init() : Initialized.
2025/02/10 (13:56:12) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme
2025/02/10 (13:56:45) | WARNING: Failed to join _runner thread on exit!
2025/02/10 (13:56:45) | INFO: Quitting! Runtime: 00:00:34

2025/02/10 (13:56:46) | ===> btop++ v.1.4.0
2025/02/10 (13:56:46) | INFO: Logger set to DEBUG
2025/02/10 (13:56:46) | DEBUG: Using locale en_US.UTF-8
2025/02/10 (13:56:46) | INFO: Running on /dev/pts/4
